lead_id,company,segment,country,website,source_url,contact_page,contact_name,contact_role,contact_email,linkedin_url,public_signal,pain_guess,service_angle,score,status,last_touch_date,next_followup_date,next_action,custom_opening_line,outreach_subject,outreach_message,reply_summary,quoted_price,notes
L0111,The Automation Partner,Make automation consultant,Argentina,https://theautomationpartner.com,https://www.make.com/en/partners-directory/the-automation-partner,https://www.make.com/en/partners-directory/the-automation-partner,,,,,"Make profile describes enterprise automation, AI agents, Salesforce, NetSuite, HubSpot, monday.com, Shopify, DocuSign and 3000+ apps.",Enterprise positioning may be larger but could have implementation overflow for client workflows.,Automation implementation support,72,not_contacted,,,Review and personalize before sending,I saw The Automation Partner builds Make-based automation ecosystems connecting Shopify HubSpot Salesforce NetSuite and more.,,,,,Fit is real but enterprise-heavy; lower priority than small teams.
L0112,Seamless Automation,Zapier automation consultant,Canada,https://zapier.com/experts,https://zapier.com/experts,https://zapier.com/experts,,,,,"Zapier Solution Partner directory lists Seamless Automation as a Platinum partner handling setup, troubleshooting, training, APIs, webhooks, app connectors, AI automation and Shopify/CRM tools.",May need overflow support for API/webhook tasks or data cleanup before client automations.,API scripts and webhook helpers,74,not_contacted,,,Review and personalize before sending,I saw Seamless Automation handles Zapier APIs webhooks app connectors AI automation and Shopify/CRM workflows.,,,,,Use official Zapier contact button; likely busy and established.
L0113,Alltomate by Miguel Carlos Arao,Zapier automation consultant,Philippines,https://zapier.com/experts,https://zapier.com/experts,https://zapier.com/experts,Miguel Carlos Arao,Founder,,,"Zapier Solution Partner directory describes Alltomate as a digital automation company offering automation consulting, Zapier workflows, integrations, and automation audits.","Could need quiet implementation help for workflow builds, data cleanup, and documentation.",Automation implementation support,78,not_contacted,,,Review and personalize before sending,I saw Alltomate offers automation consulting Zapier workflows integrations and automation audits.,,,,,Potentially founder-led and closer to our collaboration style.
L0114,Docabyte Agency,Webflow/website agency,Mexico,https://webflow.com/@docabyte-agency,https://webflow.com/@docabyte-agency,https://webflow.com/@docabyte-agency,,,,,"Webflow profile says Docabyte builds Webflow solutions and integrates automation tools, CRM systems, AI-powered agents, and mobile applications.","Website agency may need form-to-CRM cleanup, API scripts, FAQ assistant prototypes, or AI workflow implementation support.",CRM/FAQ automation support,80,not_contacted,,,Review and personalize before sending,I saw Docabyte integrates automation tools CRM systems and AI-powered agents alongside Webflow development.,,,,,Strong fit for website-agency automation support.
L0115,Wavespace,Webflow/UI agency,Unknown,https://wavespace.agency,https://webflow.com/made-in-webflow/website/openhub,https://wavespace.agency,,,hello@wavespace.agency,,"Webflow Made in Webflow page for Openhub says it is a CRM/customer analytics dashboard template for sales, lead management, customer support, pipeline analytics and automation.",A UI agency making CRM/SaaS templates may need data demo automation dashboards or FAQ/support prototypes for clients.,CRM reporting and FAQ prototype,68,not_contacted,,,Review and personalize before sending,I saw Wavespace published a CRM/customer analytics dashboard template aimed at sales lead management customer support and automation.,,,,,Lower confidence; useful for marketing/website agency test pool.
L0116,Codify Infotech,Shopify agency,India,https://codifyinfotech.com,https://www.shopify.com/partners/directory/partner/codify-infotech,https://codifyinfotech.com,Brijesh,Team contact,contact@codifyinfotech.com,,"Shopify profile lists product and collection setup, store build/redesign, theme customization, troubleshooting, app install/setup, third-party code, landing pages and forms.","High-volume Shopify service work may create overflow around product setup, collection/page customization, app setup, and small scripts.",Shopify product data and small script support,82,not_contacted,,,Review and personalize before sending,"I saw Codify Infotech handles Shopify product and collection setup, app setup, third-party code, landing pages, and troubleshooting.",,,,,Strong direct-email Shopify lead; good for overflow implementation pitch.
L0117,Okas Concepts,Shopify agency,India,https://www.shopify.com/partners/directory/partner/okas-concepts,https://www.shopify.com/partners/directory/partner/okas-concepts,https://www.shopify.com/partners/directory/partner/okas-concepts,,,jobs@okasconcepts.com,,"Shopify profile says the team provides complete store setup, design, custom app development, testing and marketing services for 6000+ stores.","Large store-service volume may need overflow help for data cleanup, product setup, QA, and small implementation tasks.",Shopify product setup and QA support,76,not_contacted,,,Review and personalize before sending,I saw Okas Concepts provides complete Shopify store setup plus custom app development and testing services.,,,,,High-volume established service provider; pitch quiet overflow support.
L0118,Webman Technologies,Shopify agency,India,https://webmantechnologies.com,https://www.shopify.com/partners/directory/partner/webman-technologies,https://webmantechnologies.com,,,webmantechnologies@gmail.com,,"Shopify profile mentions store build/redesign, product and collection setup, store migration, custom products and collection pages, and subscription/quiz features.","Could need async implementation help for product pages, collection pages, custom features, and migration data cleanup.",Shopify product page and data support,78,not_contacted,,,Review and personalize before sending,"I saw Webman Technologies works on Shopify product and collection setup, migrations, and custom product/collection pages.",,,,,Good fit for product/collection implementation tasks.
L0119,Carbon Creative,Shopify agency,United States,https://www.shopify.com/partners/directory/partner/carbon-creative,https://www.shopify.com/partners/directory/partner/carbon-creative,https://www.shopify.com/partners/directory/partner/carbon-creative,,,info@carboncreativeco.com,,"Shopify profile lists product and collection setup, custom apps and integrations, theme customization, and store build/redesign.",Small Shopify work and custom integrations may create overflow for catalog cleanup and helper scripts.,Shopify catalog and integration support,75,not_contacted,,,Review and personalize before sending,I saw Carbon Creative works on Shopify product and collection setup plus custom apps and integrations.,,,,,Direct email; US boutique angle possible.
L0120,PlanetX Technologies,Shopify agency,United States / India,https://www.shopify.com/partners/directory/partner/planetx-technologies,https://www.shopify.com/partners/directory/partner/planetx-technologies,https://www.shopify.com/partners/directory/partner/planetx-technologies,,,info@planetx.in,,"Shopify profile lists theme customization, store build/redesign, store migration, product and collection setup, troubleshooting, and custom apps/integrations.","May need implementation support for product data, migration cleanup, troubleshooting, and integration prep.",Shopify migration and integration support,76,not_contacted,,,Review and personalize before sending,"I saw PlanetX works on Shopify migrations, product and collection setup, troubleshooting, and custom integrations.",,,,,Established provider; pitch narrow overflow implementation support.
L0121,Rounders,Shopify agency,Canada,https://rounders.ca,https://www.shopify.com/partners/directory/partner/rounders,https://rounders.ca,Marissa,,marissa@rounders.ca,,"Shopify profile describes a female-led boutique web development/design company with custom apps and integrations, product and collection setup, and WooCommerce data transfer work.","Boutique agency may need quiet support for product data transfer, app integration prep, and small implementation tasks.",Shopify data transfer and product setup support,82,not_contacted,,,Review and personalize before sending,"I saw Rounders is a boutique Shopify team with product setup, custom integrations, and WooCommerce data transfer experience.",,,,,High-quality boutique target; personalize gently.
L0122,W3trends,Shopify agency,United States,https://w3trends.com,https://www.shopify.com/partners/directory/partner/w3trends,https://w3trends.com,,,support@w3trends.com,,"Shopify profile says W3trends is a Houston web design/development firm doing custom website/application development, store migration, theme customization, product and collection setup.",Custom website/app development plus Shopify work may need data cleanup and small script/API support.,Shopify data cleanup and small script support,77,not_contacted,,,Review and personalize before sending,"I saw W3trends works on Shopify migrations, product and collection setup, and custom website/application development.",,,,,Direct email; good small US agency angle.
L0123,iConfanatics,Shopify agency,Bangladesh,https://iconfanatics.com,https://www.shopify.com/partners/directory/partner/expectcode,https://iconfanatics.com,Momin,,momin879@gmail.com,,"Shopify profile mentions full Shopify store setup, collection setup, app setup/configuration, store migration, theme customization, and troubleshooting.","May need low-cost overflow support for collection/product setup or cleanup tasks, but quality positioning may be crowded.",Shopify product setup support,70,not_contacted,,,Review and personalize before sending,"I saw iConfanatics handles full Shopify store setup including collection setup, app configuration, and migrations.",,,,,"Lower priority due crowded low-cost market, but direct contact exists."
L0124,ThePlanetSoft,Shopify agency,India / United States,https://theplanetsoft.com,https://www.shopify.com/partners/directory/partner/theplanetsoft1,https://theplanetsoft.com,,,work4inventions@gmail.com,,"Shopify profile mentions store migration transferring products, customers, orders, pages and SEO data, plus React/Hydrogen/custom apps and product collection setup.","Migration data and custom Shopify development likely need data cleanup, QA, and helper scripts.",Shopify migration data cleanup and QA,84,not_contacted,,,Review and personalize before sending,"I saw ThePlanetSoft handles Shopify migrations that transfer products, customers, orders, pages, and SEO data.",,,,,Strong data-migration fit with direct email.
L0125,Meghbalika Tech,Shopify agency,United States,https://meghbalika.xyz,https://www.shopify.com/partners/directory/partner/meghbalikatech,https://meghbalika.xyz,,,support@meghbalika.xyz,,"Shopify profile details product and collection setup, adding products, organizing collections, product filters, size charts, store migration and product data transfer.",Very direct overlap with product/catalog cleanup and Shopify import-ready data tasks.,Shopify product and collection data support,85,not_contacted,,,Review and personalize before sending,"I saw Meghbalika Tech offers Shopify product and collection setup, product organization, filters, and migration product data transfer.",,,,,Excellent product-data fit with direct email.
L0126,Value Added Tech,Make automation consultant,Czech Republic,https://vatech.io,https://www.make.com/en/partners-directory/value-added-tech,https://www.make.com/en/partners-directory/value-added-tech,,,,,"Make profile says Value Added Tech works with HubSpot, Shopify, Salesforce, Monday.com, DocuSign, Airtable, Google Analytics, and Make migrations.","May need async support for data preparation, API helpers, migration cleanup, and documentation across client automation projects.",API scripts and data cleanup,78,not_contacted,,,Review and personalize before sending,"I saw Value Added Tech works across HubSpot, Shopify, Salesforce, Airtable, Google Analytics, and Make migrations.",,,,,Use Make Contact Partner route unless website email found later.
L0127,Groww Stacks,Make automation consultant,India / United States,https://growwstacks.com,https://www.make.com/en/partners-directory/groww-stacks/,https://www.make.com/en/partners-directory/groww-stacks/,,,,,"Make profile lists Shopify, Google Suite, Zoho, Slack, CRM automation, leads management, Airtable, WooCommerce, email marketing, Stripe and payment gateway integrations.","Wide automation workload may create overflow for CSV cleanup, Google Sheets prep, webhook helpers, and handoff docs.",Automation data cleanup and webhook support,76,not_contacted,,,Review and personalize before sending,"I saw Groww Stacks works across Shopify, Google Suite, Zoho, CRM automation, Airtable, WooCommerce, and Stripe workflows.",,,,,"Platinum partner, may be large; still relevant for overflow support."
L0128,Wiseflow,Make automation consultant,United States,https://wiseflow.co,https://www.make.com/en/partners-directory/wiseflow,https://www.make.com/en/partners-directory/wiseflow,,,,,"Make profile says Wiseflow specializes in automating business workflows with Stripe, QuickBooks, Knack, Google apps, Jotform, 100+ SaaS products and Make custom apps.",May need custom app/API helper support and data cleanup for client automation projects.,Make custom app and data cleanup support,80,not_contacted,,,Review and personalize before sending,"I saw Wiseflow works on Make custom apps and automations across Stripe, QuickBooks, Google apps, Jotform, and many SaaS tools.",,,,,Good API/custom app angle; contact via Make profile first.
L0129,NEODELTA SAS,Make automation consultant,France,https://neodelta.eu,https://www.make.com/en/partners-directory/neodelta-sas/,https://www.make.com/en/partners-directory/neodelta-sas/,,,,,"Make profile describes NEODELTA as a collective of tech freelancers specializing in automation and SaaS products, including API connections, Make integrations, Zapier-to-Make migration, and scenario fixing.","Freelance collective may be more open to async collaborator support for API, Make integration, and scenario repair tasks.",Make/API implementation support,86,not_contacted,,,Review and personalize before sending,"I saw NEODELTA is a tech freelancer collective working on automation, SaaS products, API connections, Make integrations, and scenario fixes.",,,,,Very strong collaborator profile; prioritize.
L0130,Codex Solutions International,Make automation consultant,United Kingdom,https://codexsolutionsint.com,https://www.make.com/en/partners-directory/codex-solutions-international,https://www.make.com/en/partners-directory/codex-solutions-international,,,,,"Make profile lists Make automation, chatbot development, Monday.com, workflow automation, Webflow, WooCommerce, Shopify, WordPress, Google Forms, Stripe, webhooks and Zoho.","Broad workflow automation and webhooks work may need async data cleanup, helper scripts, and handoff docs.",Webhook/API and automation support,78,not_contacted,,,Review and personalize before sending,"I saw Codex Solutions International works on Make automation, webhooks, Webflow, WooCommerce, Shopify, WordPress, Google Forms, Stripe, and Zoho.",,,,,Name overlap is funny but real; keep professional.
L0131,Fifty Tech Solutions,Make automation consultant,United Kingdom,https://fiftytechsolutions.com,https://www.make.com/en/partners-directory/fifty-tech-solutions,https://www.make.com/en/partners-directory/fifty-tech-solutions,Kofi Danso,Founder,,,"Make profile lists CRM setup, operations automation, data migration and system consolidation, contact enrichment/syncing, custom API integrations, Shopify, Airtable, Clay, HubSpot and Google Sheets-style workflows.","Directly overlaps with our data cleanup, CRM follow-up, API helper, and automation handoff offer.",CRM data migration and API support,87,not_contacted,,,Review and personalize before sending,"I saw Fifty Tech Solutions works on CRM setup, data migration, system consolidation, contact enrichment, custom API integrations, Shopify, Airtable, and Clay.",,,,,Top priority automation lead; strong data/CRM fit.
